Rank,Player,Pos,Nationality,League,GP,G,A,Pts,NHLe,Size,Fantasy_Tier,Style,Fantasy_Cats,Scouting_Note,Trend,Stock_Note
19,Marcus Nordmark,RW,SWE,J20 Nationell (Djurgardens),36,14,16,30,6.4,6'2 187,Rd 1,Skilled Winger,"G, A, 2G+A, SOG",Led Hlinka-Gretzky in scoring; 6-foot-2 frame allows puck protection and creativity -- balanced goal-scoring and playmaking produce multi-point games with SOG as a natural byproduct.,stable,Led Hlinka-Gretzky tournament in scoring. Stock remains firm.
20,Ilya Morozov,C,RUS,NCAA (Miami Ohio),34,8,14,22,19.4,6'3 205,Rd 1,Two-Way C,"Blk, TK/GV, Hit, Cor","6-foot-3 defensive-zone specialist trusted on the PK at 17; dominant board battles and positioning produce hits, blocked shots, and takeaways -- offensive ceiling limits G/A upside.",up,Rose to 8th among NA skaters on Central Scouting's final rankings — one of the biggest single-season climbs on the board. First-round lock; potential top-10.
21,Nikita Klepov,LW,RUS,OHL (Saginaw),60,25,30,55,22.6,6'0 181,Rd 1-2,Elite Playmaker,"A, G, 2G+A, SOG",Led OHL scoring as a rookie with elite vision and dangerous quick-release; assists and multi-point games are the dominant fantasy categories with strong shot volume.,stable,
22,JP Hurlbert,C,USA,WHL (Kamloops),56,22,28,50,21.9,6'0 183,Rd 1-2,Sniper,"G, SOG, 2G+A, A","WHL co-leading scorer (50 pts, 22G) with a catch-and-release shot that reads as NHL-caliber; goals and SOG are the primary fantasy drivers with multi-point game upside.",down,"Blazers swept in first round, Hurlbert had just 3 points in 4 playoff games. Scouts flagging pace-of-play concerns. Still a probable first-round pick but no longer a certainty."
23,Juho Piiparinen,RD,FIN,Liiga (Tappara),36,3,8,11,10.0,6'3 203,Rd 1-2,Defensive D,"Blk, TK/GV, Cor, Hit",Tappara's defensive-minded D projects as a top-four shutdown blueliner; elite positioning and stick-checking make him a Blk/TK/GV/Cor specialist -- fantasy value is in peripheral categories.,stable,
24,Mathis Preston,C,CAN,WHL (Vancouver),55,18,32,50,22.3,5'11 176,Rd 1-2,Skilled Winger,"G, SOG, A, Cor",Phil Kessel comp who blazes the wing and fires with accuracy; elite skating and dangerous shot generation project him as a top-six winger. Goals and SOG are the core fantasy value.,down,"INJURY: Suffered 8-week lower-body injury mid-season. Returned for U18 Worlds (6 pts, Canada's best forward) which is helping rebuild stock. Dynasty value intact but fell from top-8 projection to ~20-30 range."
25,William Hakansson,LD,SWE,SHL (Lulea),40,2,8,10,11.5,6'4 207,Rd 1-2,Two-Way D,"A, Blk, Cor, TK/GV","Big (6-foot-4) SHL D-man with high-IQ puck movement and elite breakout ability; fantasy value centers on Corsi, assists, and defensive stats rather than scoring.",down_big,Fell 14 spots on Upside Hockey's April board. Scouts now profile him more as a shutdown D than a two-way offensive driver. Size coveted but offensive ceiling concerns are mounting.
26,Wyatt Cullen,LW,USA,NTDP (USHL),33,12,21,33,14.5,6'0 172,Rd 1-2,Skilled Winger,"G, A, SOG, 2G+A","NTDP top scorer with a precise heavy release and lightning hands; two-way offensive driver who produces in all situations. Goals, SOG, and multi-point games are the fantasy targets.",up_big,The biggest riser in the entire 2026 class. Went from unranked/C-grade pre-season to top-10 lock. Led USA with 9 pts in 5 U18 Worlds games. Some scouts project him top-5. Dynasty value has skyrocketed.
27,Yegor Shilov,C,RUS,QMJHL (Victoriaville),58,18,35,53,21.1,6'1 181,Rd 1-2,Playmaker,"A, 2G+A, Cor, TK/GV",Cerebral QMJHL playmaker (53 pts) with elite vision and puck manipulation; PLC Dubois comp. Assists and multi-point games driven by PP usage with TK/GV added from forechecking sequences.,stable,
28,Ryan Roobroeck,C,CAN,OHL (Niagara),60,22,30,52,21.3,6'4 216,Rd 1-2,Power Forward,"G, SOG, Hit, PIM","Physically imposing (6-foot-4, 216 lbs) power forward with a heavy NHL-caliber shot; goals, SOG, hits, and PIM translate well to fantasy if his compete level matches his physical tools.",down_big,"Has fallen drastically — outside first round on multiple boards after missing significant time to injury and failing to live up to top-center-in-the-class pre-season billing. Malhotra, Carels, and others now clearly ahead."
29,Alexander Command,C,SWE,J20 Nationell (Orebro),36,8,14,22,4.8,6'1 185,Rd 1-2,Two-Way C,"A, Cor, TK/GV, 2G+A",Creative Swedish center built on playmaking and transition sequences; Elias Lindholm comp projects as a reliable two-way middle-six center with steady assists and positive possession.,stable,
30,Maddox Dagenais,C,CAN,QMJHL (Quebec),56,16,28,44,18.2,6'4 196,Rd 1-2,Power Forward,"G, SOG, Hit, 2G+A",6-foot-4 QMJHL power forward with a powerful one-timer and PP dominance; goals and SOG from power play deployment are the fantasy anchor with hits as a natural physical bonus.,stable,
31,Niklas Aaram-Olsen,RW/LW,NOR,J20 Nationell (Orebro),34,10,12,22,4.7,6'1 187,Rd 1-2,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
32,Liam Ruck,LW,CAN,WHL (Medicine Hat),54,18,22,40,18.3,6'0 176,Rd 1-2,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
33,Tomas Chrenko,C,SVK,Slovak (HK Nitra),44,10,14,24,8.2,6'1 178,Rd 2,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
34,Brooks Rogowski,C,USA,OHL (Oshawa),58,14,22,36,15.2,6'6 231,Rd 2,Power Forward,"G, Hit, PIM, SOG",Power forward who contributes goals alongside physical stats; hits and PIM accumulate naturally from physical style of play.,stable,
35,Jack Hextall,C,USA,USHL (Youngstown),48,16,22,38,11.4,6'0 185,Rd 2,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
36,Simas Ignatavicius,C,LTU,NL (Geneve-Servette),38,4,6,10,6.9,6'3 198,Rd 2,Skilled Winger,"G, A, Hit, SOG","Big-bodied skilled forward who contributes offensively and adds some physicality; goals, assists, and shot totals are the core fantasy value.",stable,
37,Jaxon Cover,LW,CAN,OHL (London),58,20,24,44,18.6,6'1 185,Rd 2,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
38,Nikita Shcherbakov,LD,RUS,MHL (Tolpar Ufa),42,4,14,18,3.8,6'5 187,Rd 2,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
39,Alessandro Di Iorio,C,CAN,OHL (Sarnia),56,12,26,38,16.6,6'1 190,Rd 2,Playmaker,"A, G, 2G+A",Playmaking forward whose elite vision and passing will produce assists and multi-point games; projects as a PP contributor with strong fantasy assist upside.,stable,
40,Adam Valentini,C,CAN,NCAA (Michigan),32,6,10,16,14.1,5'11 185,Rd 2,Playmaker,"A, G, 2G+A",Playmaking forward whose elite vision and passing will produce assists and multi-point games; projects as a PP contributor with strong fantasy assist upside.,stable,
41,Giorgos Pantelas,RD,CAN,WHL (Brandon),52,6,22,28,13.3,6'2 214,Rd 2,Offensive D,"A, SOG, Cor",Offense-first defenseman who projects as a PP quarterback; strong assist totals and shot volume from the point with positive Corsi from puck-moving ability.,stable,
42,Adam Goljer,RD,SVK,Slovak (HK Dukla Trencin),40,4,10,14,5.3,6'3 194,Rd 2,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
43,Beckham Edwards,C,CAN,OHL (Sarnia),54,14,20,34,15.4,6'1 181,Rd 2,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
44,Pierce Mbuyi,LW,CAN,OHL (Owen Sound),56,18,20,38,16.7,5'11 159,Rd 2,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
45,Vladimir Dravecky,RD,CZE,OHL (Brantford),54,6,18,24,10.9,6'0 187,Rd 2,Offensive D,"A, SOG, Cor",Offense-first defenseman who projects as a PP quarterback; strong assist totals and shot volume from the point with positive Corsi from puck-moving ability.,stable,
46,Lars Steiner,RW,CHE,QMJHL (Rouyn-Noranda),52,14,20,34,15.1,5'10 176,Rd 2,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
47,Ripa Zajic,C/RW,SVK,NTDP (USHL),33,11,15,26,12.4,5'11 181,Rd 1-2,Skilled Winger,"G, A, SOG, TK/GV","The biggest U18 Worlds stock-booster not already on most dynasty lists: 5 goals in 5 games for Slovakia including a hat trick vs. Germany. Fast, competitive, defensively sound — scouts who doubted his offensive ceiling all season had their concerns erased at the tournament.",up_big,"U18 WORLDS BREAKOUT: Exploded with 5G/5GP for Slovakia, vaulting from projected rounds 3-5 to late first/early second round conversation. The defining riser from the U18 tournament. Add to dynasty watchlist immediately."
47,Adam Nemec,LW,SVK,OHL (Sudbury),52,12,16,28,13.2,6'1 176,Rd 2,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
48,Casey Mutryn,C,USA,NTDP (USHL),30,8,14,22,10.6,6'3 201,Rd 2-3,Playmaker,"A, G, 2G+A",Playmaking forward whose elite vision and passing will produce assists and multi-point games; projects as a PP contributor with strong fantasy assist upside.,stable,
49,Axel Elofsson,RD,SWE,J20 Nationell (Orebro),34,4,12,16,3.6,5'11 165,Rd 2-3,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
50,Tommy Bleyl,RD,USA,QMJHL (Moncton),52,4,16,20,8.9,6'0 170,Rd 2-3,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",up_big,One of the most dramatic single-season ascents in the class. Rose from C-grade pre-season (Round 4-5 projection) to Central Scouting's 17th-ranked NA skater. Set QMJHL records for points by a rookie defenseman (13G/68A). First-round candidate.
51,Gleb Pugachyov,RW/LW,RUS,MHL (Chaika NN),40,12,10,22,4.3,6'3 198,Rd 2-3,Sniper,"G, SOG, 2G+A",Goal-scoring specialist with an elite shot; projects to lead his line in goals and SOG with multi-point game upside from PP deployment.,stable,
52,Ben Macbeath,LD,CAN,WHL (Calgary),50,4,14,18,8.9,6'2 181,Rd 2-3,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
53,Victor Plante,C,USA,NTDP (USHL),30,6,10,16,7.6,5'10 157,Rd 2-3,Playmaker,"A, G, 2G+A",Playmaking forward whose elite vision and passing will produce assists and multi-point games; projects as a PP contributor with strong fantasy assist upside.,stable,
54,Luke Schairer,RD,USA,NTDP (USHL),30,3,10,13,6.3,6'3 201,Rd 2-3,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
55,Oscar Holmertz,C,SWE,J20 Nationell (Linkoping),34,8,12,20,4.3,6'0 192,Rd 2-3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
56,Markus Ruck,LW,CAN,WHL (Medicine Hat),54,14,18,32,14.6,6'0 168,Rd 2-3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
57,Thomas Vandenberg,C,CAN,OHL (Ottawa),52,10,16,26,12.3,6'0 181,Rd 2-3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
58,Mikey Berchild,C,USA,NTDP (USHL),28,6,10,16,8.2,5'10 181,Rd 2-3,Playmaker,"A, G, 2G+A",Playmaking forward whose elite vision and passing will produce assists and multi-point games; projects as a PP contributor with strong fantasy assist upside.,stable,
59,Lavr Gashilov,C,RUS,MHL (Avto Yekaterinburg),38,6,10,16,3.3,6'2 170,Rd 2-3,Playmaker,"A, G, 2G+A",Playmaking forward whose elite vision and passing will produce assists and multi-point games; projects as a PP contributor with strong fantasy assist upside.,stable,
60,Jakub Vanecek,LD,CZE,WHL (Tri-City),50,4,14,18,8.9,6'2 194,Rd 2-3,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
61,Ryder Cali,C,CAN,OHL (North Bay),52,12,14,26,12.3,6'2 209,Rd 2-3,Skilled Winger,"G, A, Hit, SOG","Big-bodied skilled forward who contributes offensively and adds some physicality; goals, assists, and shot totals are the core fantasy value.",stable,
62,Braidy Wassilyn,LW,CAN,OHL (London),50,10,12,22,10.8,5'11 194,Rd 2-3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
63,Samu Alalauri,RD,FIN,SM-sarja (Pelicans),32,2,6,8,3.3,6'3 205,Rd 2-3,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
64,Landon Hafele,C,USA,USHL (Green Bay),40,10,14,24,7.4,6'1 183,Rd 3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
65,Tobias Trejbal,G,CZE,USHL (Youngstown),28,0,0,0,0.0,6'3 190,Rd 3,Starting G Upside,"W, SV%, SHO, GAA","Projects as a potential NHL starter; W, SV%, SHO, and GAA provide full fantasy contribution when earning a starting job.",stable,
66,Vilho Vanhatalo,RW/LW,FIN,SM-sarja (Tappara),30,4,4,8,3.5,6'1 183,Rd 3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
67,Blake Zielinski,C,USA,USHL (Des Moines),38,8,12,20,6.4,6'0 187,Rd 3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
68,Vertti Svensk,LD,FIN,SM-sarja (SaiPa),28,2,4,6,2.9,6'2 181,Rd 3,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
69,Chase Harrington,C,CAN,WHL (Spokane),48,8,14,22,11.3,6'1 181,Rd 3,Playmaker,"A, G, 2G+A",Playmaking forward whose elite vision and passing will produce assists and multi-point games; projects as a PP contributor with strong fantasy assist upside.,stable,
70,Tomas Galvas,LD,CZE,Czechia (Liberec),36,2,6,8,3.0,6'1 183,Rd 3,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
71,Charlie Morrison,LD,CAN,QMJHL (Quebec),48,4,14,18,8.7,6'0 176,Rd 3,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
72,Landon Nycz,LD,USA,NCAA (Massachusetts),30,2,6,8,7.2,6'2 198,Rd 3,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
73,Olivers Murnieks,C,LAT,QMJHL (Saint John),46,8,12,20,10.0,6'1 181,Rd 3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
74,Simon Katolicky,LW/RW,SVK,U20 SM-sarja (Tappara),30,8,8,16,3.2,6'4 198,Rd 3,Skilled Winger,"G, A, Hit, SOG","Big-bodied skilled forward who contributes offensively and adds some physicality; goals, assists, and shot totals are the core fantasy value.",stable,
75,Jean-Cristoph Lemieux,C,CAN,OHL (Sudbury),48,8,12,20,10.2,6'0 176,Rd 3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
76,Dmitri Borichev,G,RUS,MHL (Loko-76),28,0,0,0,0.0,6'4 194,Rd 3,Backup G,"W, SV%",Projects as a depth/backup option; W and SV% provide limited fantasy value dependent on deployment.,stable,
77,Nils Bartholdsson,RW,SWE,J20 Nationell (Rogle),32,6,8,14,3.2,6'1 178,Rd 3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
78,Cooper Williams,C,CAN,WHL (Saskatoon),46,6,10,16,8.6,6'1 159,Rd 3,Playmaker,"A, G, 2G+A",Playmaking forward whose elite vision and passing will produce assists and multi-point games; projects as a PP contributor with strong fantasy assist upside.,stable,
79,Viktor Fyodorov,C,RUS,MHL (Chaika NN),36,6,8,14,3.1,6'0 176,Rd 3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
80,Cole Zurawski,RW,CAN,OHL (Owen Sound),48,10,10,20,10.2,6'1 176,Rd 3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
81,Yaroslav Fedoseyev,RD,RUS,MHL (Belye Medvedi),32,2,6,8,2.0,6'1 183,Rd 3,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
82,Jonas Lagerberg Hoen,RW,SWE,J20 Nationell (Leksand),30,6,6,12,2.9,6'2 185,Rd 3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
83,Brady Knowling,G,USA,NTDP (USHL),22,0,0,0,0.0,6'2 190,Rd 3,Backup G,"W, SV%",Projects as a depth/backup option; W and SV% provide limited fantasy value dependent on deployment.,stable,
84,Ethan MacKenzie,LD,CAN,WHL (Edmonton),46,4,12,16,8.6,6'2 185,Rd 3,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
85,Filip Novak,LW,CZE,Czechia U20 (Sparta Praha),28,6,6,12,2.4,6'0 178,Rd 3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
86,Evan Jardine,C,USA,USHL (Youngstown),36,6,8,14,4.7,6'0 181,Rd 3,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
87,Colin Fitzgerald,C,CAN,OHL (Soo),44,6,10,16,8.9,6'1 183,Late,Playmaker,"A, G, 2G+A",Playmaking forward whose elite vision and passing will produce assists and multi-point games; projects as a PP contributor with strong fantasy assist upside.,stable,
88,Brek Liske,RD,CAN,WHL (Everett),42,4,8,12,7.0,6'2 190,Late,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
89,Egor Barabanov,LW,RUS,OHL (Saginaw),42,6,8,14,8.2,6'2 192,Late,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
90,Landon Amrhein,C,USA,WHL (Calgary),40,4,8,12,7.4,6'0 178,Late,Playmaker,"A, G, 2G+A",Playmaking forward whose elite vision and passing will produce assists and multi-point games; projects as a PP contributor with strong fantasy assist upside.,stable,
91,Max Isaksson,C,SWE,J20 Nationell (Vaxjo),28,4,6,10,2.6,6'1 181,Late,Skilled Winger,"G, A, SOG","Skilled two-way forward with balanced offensive production; contributes goals, assists, and shot totals with good hockey sense.",stable,
92,Alexander Bilecki,LD,CAN,OHL (Kitchener),40,2,8,10,6.1,6'1 183,Late,Two-Way D,"A, Blk, TK/GV, Cor","Reliable two-way defenseman who contributes on both ends; assist upside complemented by blocks, takeaways, and positive Corsi from zone-entry and breakout skills.",stable,
93,Myles Brosnan,RD,USA,USHS-Prep (Dexter Southfield),24,4,10,14,1.9,6'3 194,Late,Offensive D,"A, SOG, Cor",Offense-first defenseman who projects as a PP quarterback; strong assist totals and shot volume from the point with positive Corsi from puck-moving ability.,stable,
94,Casper Juustovaara Karlsson,C/LW,SWE,SHL (Lulea),30,2,4,6,8.2,6'0 176,Late,Playmaker,"A, G, 2G+A",Playmaking forward whose elite vision and passing will produce assists and multi-point games; projects as a PP contributor with strong fantasy assist upside.,stable,
95,Alan Shaikhlislamov,RW/LW,RUS,MHL (Tolpar Ufa),34,8,6,14,2.8,6'1 181,Late,Sniper,"G, SOG, 2G+A",Goal-scoring specialist with an elite shot; projects to lead his line in goals and SOG with multi-point game upside from PP deployment.,stable,
